tweet,scores,tokens,length,absolutely_negative,very_negative,negative,neutral,positive,very_positive,perception
"b'rt @ponchingarciajr: el amor llegar\xc3\xa1, ahorita conc\xc3\xa9ntrate en llenar tu cv.'",[0 0 2 2 0 0 0 1 0 0 0],"[""b'rt"", '@ponchingarciajr:', 'el', 'amor', 'llegar\\xc3\\xa1,', 'ahorita', 'conc\\xc3\\xa9ntrate', 'en', 'llenar', 'tu', ""cv.'""]",91.0,0.0,0.0,0.0,6.0,2.0,2.0,2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-1.0
"b'rt @sergiorochoa: no es algo wow pero siempre quise hacer esto con el amor de mi vida, y hoy lo hice conmigo mismo ( mi soledad, mi m\xc3\xbasica\xe2\x80\xa6'","[ 0  0 -1 -2  0  0  0  0  0  0 -2  0  2  2 -2 -3  0  0  0 -1  0  0  0  0
 -3  0 -3  0]","[""b'rt"", '@sergiorochoa:', 'no', 'es', 'algo', 'wow', 'pero', 'siempre', 'quise', 'hacer', 'esto', 'con', 'el', 'amor', 'de', 'mi', 'vida,', 'y', 'hoy', 'lo', 'hice', 'conmigo', 'mismo', '(', 'mi', 'soledad,', 'mi', ""m\\xc3\\xbasica\\xe2\\x80\\xa6'""]",160.0,6.0,6.0,4.0,14.0,0.0,2.0,-2.0
b'when te das cuenta que solo usas tweeter para flamiar a cable onda \xf0\x9f\x98\x82',[ 0 -2  1  0  0  0  0  0  0  0 -3  0  0  0],"[""b'when"", 'te', 'das', 'cuenta', 'que', 'solo', 'usas', 'tweeter', 'para', 'flamiar', 'a', 'cable', 'onda', ""\\xf0\\x9f\\x98\\x82'""]",86.0,2.0,2.0,0.0,6.0,2.0,0.0,-2.0
"b'rt @maggiessalexx: luisita y amelia diciendo una a la otra ""mi amor"" es que me derrito, estas cosas me ponen bland\xc3\xadsima \xf0\x9f\xa5\xba\xe2\x9d\xa4\xef\xb8\x8f\n\n#luimeliasinse\xe2\x80\xa6'",[ 0  0  0  0  0  0  0 -3 -1  0  0  0 -2  0  2  0  0  0  2  0  0  0],"[""b'rt"", '@maggiessalexx:', 'luisita', 'y', 'amelia', 'diciendo', 'una', 'a', 'la', 'otra', '""mi', 'amor""', 'es', 'que', 'me', 'derrito,', 'estas', 'cosas', 'me', 'ponen', 'bland\\xc3\\xadsima', ""\\xf0\\x9f\\xa5\\xba\\xe2\\x9d\\xa4\\xef\\xb8\\x8f\\n\\n#luimeliasinse\\xe2\\x80\\xa6'""]",200.0,2.0,2.0,2.0,10.0,0.0,4.0,1.0
b'cable onda e instagram son la peor combinaci\xc3\xb3n de mi cuarentena',[ 0  0 -3  0  0 -1  0  0 -2 -3  0],"[""b'cable"", 'onda', 'e', 'instagram', 'son', 'la', 'peor', 'combinaci\\xc3\\xb3n', 'de', 'mi', ""cuarentena'""]",73.0,4.0,2.0,2.0,8.0,0.0,0.0,-2.0
b'rt @auronxsea: gustabo garc\xc3\x8da sos un terrible puto y tu sociopatia una terrible mierda no te acord\xc3\x81s cuando horacio te llenaba el alma de a\xe2\x80\xa6',"[ 0  0  0  0  2  0 -2  0  0  0  0  0 -2 -3 -1 -2  0  0  0 -2  0  2  0 -2
  0]","[""b'rt"", '@auronxsea:', 'gustabo', 'garc\\xc3\\x8da', 'sos', 'un', 'terrible', 'puto', 'y', 'tu', 'sociopatia', 'una', 'terrible', 'mierda', 'no', 'te', 'acord\\xc3\\x81s', 'cuando', 'horacio', 'te', 'llenaba', 'el', 'alma', 'de', ""a\\xe2\\x80\\xa6'""]",168.0,2.0,10.0,2.0,14.0,0.0,4.0,-2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-2.0
"b'casemonodigo pero amor, tendr\xc3\xa1 que usar vestido o no. https://t.co/om7tkuxous'",[ 0  0  0  0  0  0  0 -2  0  0],"[""b'casemonodigo"", 'pero', 'amor,', 'tendr\\xc3\\xa1', 'que', 'usar', 'vestido', 'o', 'no.', ""https://t.co/om7tkuxous'""]",87.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-1.0
"b'rt @kingsbts7: no necesitan ser ricos, ni tener toda la merch de los chicos tampoco ir al d\xc3\xada con sus \xc3\xa1lbumes para validar que son armys, n\xe2\x80\xa6'","[ 0  0 -1  0  0  0  1  0  0 -1  0 -2 -1  0  0  0 -1  0  0  0  0  0  0  0
  0  0  0]","[""b'rt"", '@kingsbts7:', 'no', 'necesitan', 'ser', 'ricos,', 'ni', 'tener', 'toda', 'la', 'merch', 'de', 'los', 'chicos', 'tampoco', 'ir', 'al', 'd\\xc3\\xada', 'con', 'sus', '\\xc3\\xa1lbumes', 'para', 'validar', 'que', 'son', 'armys,', ""n\\xe2\\x80\\xa6'""]",168.0,0.0,2.0,8.0,12.0,2.0,0.0,-2.0
b'rt @sdbardayan: me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar la cara\xe2\x80\xa6',"[ 0  0  2  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0 -1
  0]","[""b'rt"", '@sdbardayan:', 'me', 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar', 'la', ""cara\\xe2\\x80\\xa6'""]",153.0,0.0,2.0,8.0,14.0,0.0,2.0,-1.0
b'rt @milyibarra1: le entregu\xc3\xa9 lo mejor de mi. no me puedo quejar. estoy orgullosa de tener el coraz\xc3\xb3n que tengo y de mi capacidad de dar amo\xe2\x80\xa6',"[ 0  0 -2  0 -1  2 -2  0 -1  2  0  0  0  0 -2  0  2  0  0  0  0 -2 -3  0
 -2  0  0]","[""b'rt"", '@milyibarra1:', 'le', 'entregu\\xc3\\xa9', 'lo', 'mejor', 'de', 'mi.', 'no', 'me', 'puedo', 'quejar.', 'estoy', 'orgullosa', 'de', 'tener', 'el', 'coraz\\xc3\\xb3n', 'que', 'tengo', 'y', 'de', 'mi', 'capacidad', 'de', 'dar', ""amo\\xe2\\x80\\xa6'""]",168.0,2.0,10.0,4.0,16.0,0.0,6.0,2.0
b'me siento mal por los agentes del call center de cable onda que tienen que lidiar con los clientes frustrados; dar\xe2\x80\xa6 https://t.co/l6cddi0ted',[ 0  0 -1  0 -1  0  0  0  0 -2  0  0  0  0  0  0  0 -1  0  0  0  0],"[""b'me"", 'siento', 'mal', 'por', 'los', 'agentes', 'del', 'call', 'center', 'de', 'cable', 'onda', 'que', 'tienen', 'que', 'lidiar', 'con', 'los', 'clientes', 'frustrados;', 'dar\\xe2\\x80\\xa6', ""https://t.co/l6cddi0ted'""]",153.0,0.0,2.0,6.0,10.0,0.0,0.0,-2.0
"b'rt @armyrenzi: caminando descalzo en la orilla, respire los olores del mar, escuche el canto de las olas, conozca a las conchas, las hijas\xe2\x80\xa6'",[ 0  0  0  0  1 -1  0  0 -1  0  0  0  0  2  0 -2 -1  0  0 -3 -1  0 -1  0],"[""b'rt"", '@armyrenzi:', 'caminando', 'descalzo', 'en', 'la', 'orilla,', 'respire', 'los', 'olores', 'del', 'mar,', 'escuche', 'el', 'canto', 'de', 'las', 'olas,', 'conozca', 'a', 'las', 'conchas,', 'las', ""hijas\\xe2\\x80\\xa6'""]",153.0,2.0,2.0,10.0,14.0,2.0,2.0,-1.0
"b'rt @julie20112: igual para las dem\xc3\xa1s, cable onda, que apoyen con servicio eficiente.'",[ 0  0  0  0 -1  0  0  0  0  0  0  0  0],"[""b'rt"", '@julie20112:', 'igual', 'para', 'las', 'dem\\xc3\\xa1s,', 'cable', 'onda,', 'que', 'apoyen', 'con', 'servicio', ""eficiente.'""]",94.0,0.0,0.0,2.0,4.0,0.0,0.0,-1.0
b'rt @rguezzale: encontrar amor y amistad en la misma persona es ganar en la vida.',[ 0  0  0  2  0  0  1 -1  0  0 -2  0  1 -1  0],"[""b'rt"", '@rguezzale:', 'encontrar', 'amor', 'y', 'amistad', 'en', 'la', 'misma', 'persona', 'es', 'ganar', 'en', 'la', ""vida.'""]",83.0,0.0,2.0,4.0,10.0,4.0,2.0,2.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
b'esas personas que no conozco y reaccionan a mis historias de ig tienen todo mi amor ganado',[ 0  0  0 -1  0  0  0 -3  0  0 -2  0  0  0 -3  2  0],"[""b'esas"", 'personas', 'que', 'no', 'conozco', 'y', 'reaccionan', 'a', 'mis', 'historias', 'de', 'ig', 'tienen', 'todo', 'mi', 'amor', ""ganado'""]",93.0,4.0,2.0,2.0,10.0,0.0,2.0,-1.0
b'rt @cotovidela: que onda #canal13 bajo el gc (generador de caracteres) se lee clarito que no han pagado el cable jajjajja ya pueh cabros #q\xe2\x80\xa6',"[ 0  0  0  0  0  0  2  0  0 -2  0  0  0  0  0 -1  0  0  2  0  0  0  0  0
  0]","[""b'rt"", '@cotovidela:', 'que', 'onda', '#canal13', 'bajo', 'el', 'gc', '(generador', 'de', 'caracteres)', 'se', 'lee', 'clarito', 'que', 'no', 'han', 'pagado', 'el', 'cable', 'jajjajja', 'ya', 'pueh', 'cabros', ""#q\\xe2\\x80\\xa6'""]",154.0,0.0,2.0,2.0,10.0,0.0,4.0,0.0
"b'rt @deyanarabrianda: donde no eres feliz debes marcharte, no importa el tiempo que perdiste, ni los planes, aunque se te rompa el coraz\xc3\xb3n.\xe2\x80\xa6'",[ 0  0  0 -1  0  2  0  0 -1  0  2  0  0  0  1 -1  0  0  0 -2  0  2  0],"[""b'rt"", '@deyanarabrianda:', 'donde', 'no', 'eres', 'feliz', 'debes', 'marcharte,', 'no', 'importa', 'el', 'tiempo', 'que', 'perdiste,', 'ni', 'los', 'planes,', 'aunque', 'se', 'te', 'rompa', 'el', ""coraz\\xc3\\xb3n.\\xe2\\x80\\xa6'""]",160.0,0.0,2.0,6.0,16.0,2.0,6.0,2.0
b'rt @alvarough: ah\xc3\xad viene cable onda... https://t.co/qdwkxujpik',[0 0 0 0 0 0 0],"[""b'rt"", '@alvarough:', 'ah\\xc3\\xad', 'viene', 'cable', 'onda...', ""https://t.co/qdwkxujpik'""]",72.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
b'rt @gabymendoza21: babies bull terrier a la venta! \nnecesitan un hogar que le den mucho amor y cuidado \xf0\x9f\x92\x95\xf0\x9f\x90\xb6\xf0\x9f\x92\x9c \nme ayudan con un rt\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\xa4\xa9 https://\xe2\x80\xa6',"[ 0  0  0  0  0 -3 -1  0  0  0  0  0 -2  0  0  2  0  0  0  0  0  0  0  0
  0]","[""b'rt"", '@gabymendoza21:', 'babies', 'bull', 'terrier', 'a', 'la', 'venta!', '\\nnecesitan', 'un', 'hogar', 'que', 'le', 'den', 'mucho', 'amor', 'y', 'cuidado', '\\xf0\\x9f\\x92\\x95\\xf0\\x9f\\x90\\xb6\\xf0\\x9f\\x92\\x9c', '\\nme', 'ayudan', 'con', 'un', 'rt\\xf0\\x9f\\x99\\x8f\\xf0\\x9f\\x8f\\xbc\\xf0\\x9f\\xa4\\xa9', ""https://\\xe2\\x80\\xa6'""]",246.0,2.0,2.0,2.0,8.0,0.0,2.0,-1.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
b'toy contenta porque una amiga de facultad q todavia no conozco me dijo feliz dia. no merezco tanto amor de alguien\xe2\x80\xa6 https://t.co/day1c0tt5z',[ 0  0  0  0  0 -2  0  0  0 -1  0  2  0  2  0 -1  0  0  2 -2  0  0],"[""b'toy"", 'contenta', 'porque', 'una', 'amiga', 'de', 'facultad', 'q', 'todavia', 'no', 'conozco', 'me', 'dijo', 'feliz', 'dia.', 'no', 'merezco', 'tanto', 'amor', 'de', 'alguien\\xe2\\x80\\xa6', ""https://t.co/day1c0tt5z'""]",153.0,0.0,4.0,4.0,14.0,0.0,6.0,1.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
"b'rt @ayamlachini: el amor, lo bueno en general, no se debe dejar nunca para ma\xc3\xb1ana, si hay algo que la vida nos ense\xc3\xb1a con el paso del tiemp\xe2\x80\xa6'","[ 0  0  2  0 -1  1  1  0 -1  0  0  0  0  0  0 -2  0  0  0 -1  0  1  0  0
  2  0  0  0]","[""b'rt"", '@ayamlachini:', 'el', 'amor,', 'lo', 'bueno', 'en', 'general,', 'no', 'se', 'debe', 'dejar', 'nunca', 'para', 'ma\\xc3\\xb1ana,', 'si', 'hay', 'algo', 'que', 'la', 'vida', 'nos', 'ense\\xc3\\xb1a', 'con', 'el', 'paso', 'del', ""tiemp\\xe2\\x80\\xa6'""]",168.0,0.0,2.0,6.0,16.0,4.0,4.0,2.0
b'cable onda hp\xf0\x9f\x92\x80 https://t.co/vtwizxsn4n',[0 0 0 0],"[""b'cable"", 'onda', 'hp\\xf0\\x9f\\x92\\x80', ""https://t.co/vtwizxsn4n'""]",56.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
b'tampoco le agarr\xc3\xa9 amor a la guerrilla y su estilo de vida como estipulaban con el bombardeo liteterario que nos car\xe2\x80\xa6 https://t.co/vpnb4jzuse',[ 0 -2  0  2 -3 -1  0  0  0  0 -2  0  0  0  0  2  0  0  0  1  0  0],"[""b'tampoco"", 'le', 'agarr\\xc3\\xa9', 'amor', 'a', 'la', 'guerrilla', 'y', 'su', 'estilo', 'de', 'vida', 'como', 'estipulaban', 'con', 'el', 'bombardeo', 'liteterario', 'que', 'nos', 'car\\xe2\\x80\\xa6', ""https://t.co/vpnb4jzuse'""]",161.0,2.0,4.0,2.0,12.0,2.0,4.0,0.0
"b'@claudiiavega08 y yo aca empezando semestrales\xf0\x9f\xa5\xb2, que cable onda este contigo\xf0\x9f\x99\x8f'",[0 0 0 2 0 0 0 0 0 0 0],"[""b'@claudiiavega08"", 'y', 'yo', 'aca', 'empezando', 'semestrales\\xf0\\x9f\\xa5\\xb2,', 'que', 'cable', 'onda', 'este', ""contigo\\xf0\\x9f\\x99\\x8f'""]",110.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0
"b'@sevillafc @suso30oficial sorprende tanto resentimiento, en vez de felicidad, de los aficionados del mil\xc3\xa1n si tan m\xe2\x80\xa6 https://t.co/maix4xb5bn'",[ 0  0  0  0  0  1  0 -2  0 -2 -1  0  0  0 -2  0  0  0],"[""b'@sevillafc"", '@suso30oficial', 'sorprende', 'tanto', 'resentimiento,', 'en', 'vez', 'de', 'felicidad,', 'de', 'los', 'aficionados', 'del', 'mil\\xc3\\xa1n', 'si', 'tan', 'm\\xe2\\x80\\xa6', ""https://t.co/maix4xb5bn'""]",161.0,0.0,6.0,2.0,10.0,2.0,0.0,-2.0
b'rt @pablofourtyfive: \xe2\x80\x9cprofe soy cable onda \xe2\x80\x9c\nla excusa de este a\xc3\xb1o para llegar tarde a las clases virtuales \xf0\x9f\xa7\xa0',[ 0  0  0  0  0  0  0  0 -2  0  0  0  0  0 -3 -1  0  0  0],"[""b'rt"", '@pablofourtyfive:', '\\xe2\\x80\\x9cprofe', 'soy', 'cable', 'onda', '\\xe2\\x80\\x9c\\nla', 'excusa', 'de', 'este', 'a\\xc3\\xb1o', 'para', 'llegar', 'tarde', 'a', 'las', 'clases', 'virtuales', ""\\xf0\\x9f\\xa7\\xa0'""]",157.0,2.0,2.0,2.0,6.0,0.0,0.0,-2.0
"b'@veni_pegate18 ya venite amor, solo tenes que agarrar tu pasaporte y su maleta y listo, hasta de gratis te trae el\xe2\x80\xa6 https://t.co/o1bfemg0ym'",[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 -2  0 -2  0  0  0],"[""b'@veni_pegate18"", 'ya', 'venite', 'amor,', 'solo', 'tenes', 'que', 'agarrar', 'tu', 'pasaporte', 'y', 'su', 'maleta', 'y', 'listo,', 'hasta', 'de', 'gratis', 'te', 'trae', 'el\\xe2\\x80\\xa6', ""https://t.co/o1bfemg0ym'""]",153.0,0.0,4.0,0.0,6.0,0.0,0.0,-2.0
b'rt @the_jnako: cable onda eres una verga',[0 0 0 0 0 0 0],"[""b'rt"", '@the_jnako:', 'cable', 'onda', 'eres', 'una', ""verga'""]",43.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"b'rt @paoor13: el amor, indiscutiblemente, es para valientes \xe2\x9c\xa8'",[ 0  0  2  0  0 -2  0  0  0],"[""b'rt"", '@paoor13:', 'el', 'amor,', 'indiscutiblemente,', 'es', 'para', 'valientes', ""\\xe2\\x9c\\xa8'""]",74.0,0.0,2.0,0.0,6.0,0.0,2.0,-2.0
b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,-2.0
b'las amiguitas de mi hermana vinieron a traerle una merienda de salado y dulce por el d\xc3\xada del amigo\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\x98\xbb\xf0\x9f\x98\xbb\xf0\x9f\x98\xbb mor\xc3\xad de amor',[ 0  0 -2 -3  0  0 -3  0  0  0 -2  0  0  0  0  2  0  0  0  0 -2  0],"[""b'las"", 'amiguitas', 'de', 'mi', 'hermana', 'vinieron', 'a', 'traerle', 'una', 'merienda', 'de', 'salado', 'y', 'dulce', 'por', 'el', 'd\\xc3\\xada', 'del', 'amigo\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\x98\\xbb\\xf0\\x9f\\x98\\xbb\\xf0\\x9f\\x98\\xbb', 'mor\\xc3\\xad', 'de', ""amor'""]",224.0,4.0,6.0,0.0,12.0,0.0,2.0,-2.0
b'cable onda destac\xc3\xa1ndose como siempre',[0 0 0 0 0],"[""b'cable"", 'onda', 'destac\\xc3\\xa1ndose', 'como', ""siempre'""]",46.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
